SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
815.94,85.89,89.82,-0.28,-0.36,-1.54
-815.94,87.64,90.52,-0.1,-0.54,-0.04
815.94,88.46,89.01,-1.12,-0.63,-3.77
-815.94,83.66,89.89,0.96,-0.72,-3.56
815.94,82.94,87.86,-1.92,-0.54,-3.78
-815.94,82.7,88.19,0.5,-0.45,-1.82
815.94,84.97,86.33,-1.82,0,2.58
-815.94,88.63,87.57,-1.82,0,2.58
815.94,95.23,86.47,1,0.27,3.73
683.82,97.55,89.29,-0.74,0.18,6.52
815.94,101.23,89.44,2.67,0.09,6.9
815.94,98.64,90.58,-0.34,0,1.48
-815.94,91.09,93.27,1.58,-0.18,1.27
815.94,91.83,90.73,1.18,-0.09,0.17
815.94,91.86,91.49,-1.86,0,0.48
-815.94,90.71,92.36,1.78,-0.09,2.49
815.94,93.57,90.89,-1.3,0,-1.25
-156.72,92.24,92.76,0.35,0.09,1.58
815.94,89.98,91.36,0.92,0.09,-0.23
815.94,89.72,91.29,-1.44,0.18,0.13
-815.94,91.58,92.4,1.46,0.09,1.31
815.94,91.57,90.79,-1.55,0,-1.42
-815.94,87.7,92.55,1.05,-0.09,-1
815.94,88.65,90.27,-1.12,-0.18,-0.82
815.94,88.05,90.76,-0.23,-0.18,-5.36
44.43,86.66,90.45,0.25,-0.27,-4.03
815.94,82.37,89.49,0.25,-0.27,-4.03
-815.94,82.54,89.15,-0.96,-0.54,-2.1
815.94,84.48,87.45,-0.69,-0.54,-6.53
-815.94,79.54,88.41,-0.79,-0.63,-5.56
815.94,80.99,85.01,0.04,-0.27,-3.68
-815.94,83.58,86.29,-2.49,0,-1.04
815.94,90.03,85.51,1.66,0,2.61
815.94,95.14,85.81,-1.51,0.27,3.67
-815.94,93.45,89.11,1.8,0.09,6.07
815.94,96.96,87.87,1.24,0.18,5.3
815.94,99.34,89.62,-0.22,0.09,0.31
-815.94,95.13,92.44,2.8,-0.09,1.02
815.94,91.75,90.29,-0.73,-0.09,0.77
815.94,91.39,91.79,0.07,0,2.09
815.94,94.89,90.93,0.59,0,1.26
815.94,92.16,91.25,-0.7,0.09,0.22
-815.94,90.51,92.56,1.67,0.09,1.42
815.94,91.41,90.98,-1.57,0.18,0.37
-815.94,91.45,92.53,1.25,0.18,1.43
815.94,92.6,91.09,1.25,0.18,1.43
-460.97,91.29,92.36,-1.1,0.18,-0.76
815.94,89.45,91.22,1.24,0.09,-0.31
-815.94,88.49,91.85,-1.25,-0.09,-2.07
815.94,86.98,90.36,0.73,-0.18,-1.39
-815.94,86.66,91.03,-1.37,-0.27,-3.87
815.94,82.74,89.13,0.06,-0.27,-5.33
-815.94,80.67,88.96,-0.7,-0.36,-2.51
815.94,81.97,86.74,-1.75,-0.45,-5.67
-815.94,83.46,87.68,-0.03,-0.45,-3.42
815.94,82.19,85.63,-0.95,-0.36,-3.48
-815.94,82.98,86.58,0.14,-0.27,-0.15
815.94,84.75,84.64,-1.17,0.18,2.61
-815.94,90.71,86.99,0.72,0.09,3.15
815.94,95.93,86.45,0.67,0.18,3.73
815.94,95.61,88.28,0.76,0.18,5.59
815.94,96.68,89.54,1.93,0,1.37
815.94,92.46,89.73,-0.35,0,0.6
-815.94,90.61,91.32,1.63,-0.09,1.45
815.94,92.02,89.94,1.63,0,1.45
-815.94,92.16,91.66,-1.18,0.09,1.19
815.94,93.84,90.38,1.4,0.09,2.42
-815.94,92.97,92.24,-0.93,0.09,0.31
815.94,91.78,91.07,1.5,0.09,1.56
-815.94,91.91,92.21,-1.03,0.09,0.67
815.94,92.03,91.22,1.05,0.09,1.55
-815.94,92.35,92.44,-0.84,0.09,-0.2
815.94,90.02,91.26,0.66,0,0.63
-815.94,90.43,92.06,-0.38,-0.09,-1.52
815.94,89.87,90.85,-0.57,-0.18,-1.69
-815.94,88.05,91.34,0.6,-0.27,-2.73
815.94,86.42,90.25,-1.38,-0.27,-4.63
-815.94,84.4,89.8,0.53,-0.36,0.67
815.94,85.06,88.36,-2.04,-0.54,-1.29
-815.94,87.51,89.85,1.42,-0.63,-3.97
815.94,82.94,88.04,-1.56,-0.63,-4.47
-815.94,80.29,88.84,0.78,-0.54,-2.19
815.94,83.32,85.88,-2.51,-0.09,0.3
-815.94,86.86,87.13,-2.51,-0.09,0.3
815.94,91.56,85.93,0.96,0.18,0.91
815.94,93.11,86.93,-1.09,0.18,4.47
-815.94,97.72,88.85,1.37,0.09,6.71
815.94,98.77,88.58,0.83,0.18,1.26
-777.11,90.83,91.3,0.51,0,0.8
815.94,91.03,90.11,2.23,0,2.09
815.94,92.42,89.82,-1.82,0.09,0.07
-815.94,90.01,91.96,0.85,0.09,2.01
815.94,92.35,90.06,0.53,0.09,0.31
815.94,92.82,91.25,-0.82,0.18,-0.85
-815.94,89.74,91.54,1.79,0.18,1.48
815.94,90.56,90.07,-1.98,0.18,-0.87
-815.94,90.43,91.98,1.13,0.18,1.34
815.94,90.59,90.19,-0.72,0.18,-0.73
-529.82,88.58,91.7,0.48,0.09,-0.63
815.94,88.78,90.29,-0.23,0,-1.49
815.94,86.99,90.01,-0.82,-0.09,-2.68
-815.94,87.02,90.77,0.92,-0.18,-2.59
815.94,86.13,88.79,0.92,-0.27,-2.59
-815.94,85.22,90.17,-1.7,-0.45,-1.63
815.94,87.82,87.82,1.02,-0.54,-1.5
-815.94,86.35,89.61,-1.84,-0.63,-2.61
815.94,85.63,87.78,1.6,-0.54,-2.91
815.94,84.04,87.34,-2.16,-0.36,-3.24
-815.94,85.03,88.06,0.88,-0.18,-0.08
815.94,91.11,85.86,-1.21,0.18,1.53
815.94,91.79,88.23,-0.29,0.09,4.65
815.94,94.52,88.62,2.52,0.09,7.35
815.94,99.41,88.44,-1.21,0.09,3.13
815.94,98.7,91.54,1.61,0,0.81
483.08,94.9,92.11,2.54,-0.18,1.64
815.94,91.84,91.14,-1.63,-0.09,0.82
-815.94,90.67,92.82,1.27,-0.09,2.31
815.94,93.44,91.32,-0.98,-0.09,-1.21
-815.94,89.42,93.1,1.12,0,0.87
815.94,90.99,91.25,-1.06,0.09,-0.16
815.94,89.72,91.9,0.24,0.09,1.6
815.94,91.6,91.38,0.24,0.18,1.6
815.94,92.97,91.07,-0.33,0.18,1.15
-815.94,91.9,92.48,-0.03,0,0.24
815.94,90.02,91.24,0.66,-0.09,-1.9
-815.94,86.33,92.19,-0.48,-0.18,-1.6
815.94,86.62,89.88,-0.06,-0.27,-3.04
-815.94,84.1,91.1,-1.11,-0.27,-4.34
815.94,84.8,88.26,0.26,-0.36,-1.44
815.94,87.19,89.02,-2.06,-0.54,-2.93
-815.94,86.89,89.02,1.68,-0.63,-0.81
815.94,86.92,87.61,-2.03,-0.54,-3.78
-815.94,85.12,89.2,1.32,-0.54,-1.72
815.94,84.96,86.32,-1.52,-0.09,0.03
815.94,87.16,87.68,-0.45,-0.09,-0.24
815.94,88.95,87.59,1.37,0,4.34
815.94,93.15,86.84,-1.49,0.18,5.39
815.94,99.47,89.8,2.05,0.09,6.1
815.94,98.53,90.61,1.42,0,1.17
815.94,91.3,91.67,0.58,-0.09,0.4
815.94,90.27,91.88,0.58,-0.09,0.4
815.94,91.1,91.02,0.24,0,0.19
-815.94,91.53,92.23,-0.51,-0.09,1.16
815.94,93.34,90.91,0.59,0,1.17
-815.94,90.96,92.55,-0.65,0,-0.7
815.94,90.3,91.03,1.13,0,1.03
-503.15,91.07,92.03,-1.19,0.09,0.21
815.94,92.17,90.95,0.97,0.09,2.35
815.94,94.69,91.75,-1.07,0,-1.04
815.94,92.55,91.92,1.57,-0.09,-0.32
513.07,89.4,92.25,-1.02,-0.18,-1.56
815.94,87.83,90.91,0.35,-0.27,-3.1
-815.94,87.19,91.5,-0.85,-0.27,-4.68
815.94,84.01,89.5,-0.71,-0.36,-1.01
-815.94,84.49,89.88,-0.14,-0.54,-0.01
815.94,88.26,88.69,-1.15,-0.54,-3.97
-815.94,83.79,89.54,1.06,-0.72,-3.08
815.94,84.29,88.07,-1.53,-0.45,-1.54
396.13,86.35,87.74,0.01,-0.45,-1.57
815.94,87.87,87.28,0.01,-0.09,-1.57
-815.94,90.48,88.04,-0.52,-0.09,4.58
815.94,96.46,87.38,0.34,0.09,2.97
-815.94,96.58,90.2,-0.02,0,5.54
815.94,99.66,89.46,2.1,0,6.15
815.94,96.36,91.14,-0.49,0,0.2
-815.94,91.14,92.75,2.13,-0.18,1.32
815.94,91.68,90.89,-0.51,0,0.94
815.94,92.05,92.41,-0.33,0,2.59
815.94,96,91.65,1.23,-0.09,2.37
815.94,96,92.79,-0.69,0,0.12
815.94,92.63,93.01,1.67,0,0.99
815.94,91.37,92.37,-1.42,0,-0.4
-815.94,90.37,93.12,1.05,0.09,1.37
815.94,91.47,91.57,-1.58,0,-1.14
-815.94,91.63,93.07,1.25,0,0.22
