SL_PWM,SL_position
Calculating offsets, do not move MPU6050
815.94,-2.36
815.94,-2.18
815.94,-1.99
815.94,-1.78
815.94,-1.72
815.94,-1.36
815.94,-1.13
815.94,-0.88
-815.94,-0.41
-815.94,-0.05
-815.94,0.10
-815.94,0.22
-815.94,0.31
-815.94,0.39
-815.94,0.44
-815.94,0.47
-815.94,0.48
-815.94,0.47
-815.94,0.43
-815.94,0.38
-815.94,0.31
-815.94,0.22
-815.94,0.11
-815.94,-0.01
-815.94,-0.16
-815.94,-0.50
-815.94,-0.88
-815.94,-1.11
-815.94,-1.58
-815.94,-2.12
-815.94,-2.71
-815.94,-3.36
-815.94,-4.07
-815.94,-4.82
-815.94,-5.60
-815.94,-6.44
-815.94,-7.34
-815.94,-8.25
-815.94,-9.24
-815.94,-10.23
-815.94,-11.01
-815.94,-12.04
-815.94,-13.19
-815.94,-14.30
-815.94,-15.49
-815.94,-16.68
-815.94,-17.89
-815.94,-19.13
-815.94,-20.45
-815.94,-21.77
-815.94,-23.13
-815.94,-24.51
-815.94,-25.88
-815.94,-27.27
-815.94,-28.67
-815.94,-30.17
-815.94,-31.62
-815.94,-33.10
-815.94,-34.65
-815.94,-36.11
-815.94,-37.55
-815.94,-39.07
-815.94,-40.49
-815.94,-41.97
-815.94,-43.42
-815.94,-44.90
-815.94,-46.32
-815.94,-47.80
-815.94,-49.25
-815.94,-50.66
-815.94,-52.13
-815.94,-53.56
-815.94,-54.98
