CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,-39.55,31.69,-0.90,33.62,-0.90,-0.00785,0.00000,-0.00104,0.00511,0.00822,0.00525,0.00000,-0.13,-0.01,9.86
100,-96.89,31.69,-0.63,33.40,-0.63,-0.00628,0.03740,-0.00106,-0.00055,0.00834,0.00277,0.00022,0.10,0.04,9.82
100,-254.22,31.69,-0.05,33.45,-0.05,-0.00628,0.00000,-0.00105,0.00025,0.00835,0.00026,-0.00022,0.05,0.01,9.83
100,-394.39,31.69,0.01,33.45,0.01,-0.00628,0.00000,-0.00105,-0.00007,0.00834,-0.00008,0.00000,-0.05,-0.08,9.73
100,800.78,90.85,-0.00,34.74,-0.00,-0.00628,0.00000,-0.00105,0.00001,0.00834,0.00001,0.00000,-0.03,0.01,9.80
100,800.78,90.85,0.76,49.18,0.76,-0.01100,0.00000,-0.00123,-0.00416,0.00816,-0.00427,0.00000,0.09,-0.07,9.93
100,-800.78,90.85,6.47,66.72,6.47,-0.01885,-0.10959,-0.00264,-0.03288,0.00630,-0.04333,0.00064,2.39,1.39,9.05
100,800.78,90.85,6.85,66.02,6.85,-0.02985,-0.22987,-0.00418,-0.03753,0.00392,-0.05794,0.00074,0.36,-1.99,12.92
100,289.07,90.85,-0.22,75.44,-0.22,-0.03770,-0.22440,-0.00331,0.02080,0.00401,0.00199,-0.00006,-1.61,0.78,9.05
100,-385.45,60.42,4.05,73.99,4.05,-0.04241,-0.18265,-0.00424,-0.02223,0.00241,-0.03806,-0.00019,0.94,-0.03,9.12
100,800.78,60.42,-1.26,67.33,-1.26,-0.03613,-0.11220,-0.00334,0.02139,0.00292,0.01218,-0.00045,-3.13,-0.24,9.36
100,-641.83,60.42,-2.31,70.23,-2.31,-0.03770,0.15325,-0.00298,0.00884,0.00381,0.02168,0.00022,0.68,0.51,9.61
100,496.98,60.42,0.97,64.31,0.97,-0.03456,-0.03740,-0.00323,-0.00600,0.00343,-0.00925,-0.00068,-0.98,-0.60,10.50
100,381.65,105.22,-2.51,64.79,-2.51,-0.03299,0.07480,-0.00253,0.01668,0.00440,0.02309,0.00020,-0.41,0.51,9.64
100,800.78,105.22,0.37,71.69,0.37,-0.03613,0.03740,-0.00280,-0.00662,0.00426,-0.00345,-0.00021,0.57,-0.07,8.71
100,-148.54,105.22,3.20,84.74,3.20,-0.04555,-0.07306,-0.00381,-0.02348,0.00297,-0.02980,0.00020,0.48,0.45,9.38
100,800.78,105.22,5.23,86.27,5.23,-0.05655,-0.22440,-0.00517,-0.03253,0.00082,-0.05125,0.00090,0.81,0.14,9.51
100,797.12,105.22,0.42,91.50,0.42,-0.06440,-0.26818,-0.00445,0.01774,0.00065,-0.00420,0.00027,-0.67,-0.44,10.40
100,-649.85,67.60,2.56,95.77,2.56,-0.07226,-0.18265,-0.00486,-0.00954,-0.00040,-0.02438,-0.00050,0.88,0.45,10.19
100,590.14,67.60,1.39,84.76,1.39,-0.06440,-0.19156,-0.00479,0.00165,-0.00096,-0.01380,0.00005,-0.36,-0.56,10.66
100,-128.35,67.60,-4.71,83.38,-4.71,-0.05655,0.21918,-0.00353,0.02937,0.00106,0.04707,0.00016,-2.40,0.69,9.28
100,-406.94,67.60,-0.23,80.08,-0.23,-0.05498,0.15325,-0.00395,-0.01020,0.00115,0.00225,-0.00040,3.17,0.46,8.59
100,656.56,67.60,-1.52,73.93,-1.52,-0.04869,0.03653,-0.00343,0.01203,0.00180,0.01504,-0.00068,-0.75,-0.55,10.93
100,800.78,108.81,-2.52,76.14,-2.52,-0.04555,0.19156,-0.00312,0.00748,0.00275,0.02325,0.00090,-0.75,0.04,9.52
100,183.79,108.81,1.13,87.81,1.13,-0.05341,0.03653,-0.00372,-0.01422,0.00228,-0.01119,-0.00089,2.64,0.44,8.63
